"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09"
"IMF.STA:ER(4.0.1)","UGA.USD_XDC.EOP_RT.M","OBS_VALUE","Uganda","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","2.716552447984197E-4","2.713880958325644E-4","2.718263592985991E-4","2.731031619884095E-4","2.728759845008921E-4","2.753441285336432E-4","2.781958091318789E-4","2.78938471751901E-4","2.816615779808245E-4","2.865329512893983E-4"
"IMF.STA:ER(4.0.1)","TTO.USD_XDC.EOP_RT.M","OBS_VALUE","Trinidad and Tobago","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.1480253419385399","0.1483789598634914","0.148124009420687","0.1484803040876628","0.1484362243761968","0.1480275331211605","0.1482030381622823","0.1482579688658265","0.1487829554246266","0.1480297243686532"
"IMF.STA:ER(4.0.1)","UKR.USD_XDC.EOP_RT.M","OBS_VALUE","Ukraine","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02378743547658127","0.02390960257458601","0.02408825938237703","0.02410875943556572","0.02405887688350932","0.02407984877854967","0.02401485078372466","0.02394280542639742","0.02423643123397366","0.0242027610509807"
"IMF.STA:ER(4.0.1)","PER.USD_XDC.EOP_RT.M","OBS_VALUE","Peru","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.2655689815429558","0.2686727565824825","0.2717391304347826","0.2725538293813028","0.2723311546840959","0.2757479663587481","0.2824459822059031","0.2788233653980204","0.2830455703368242","0.2880599164626242"
"IMF.STA:ER(4.0.1)","UZB.USD_XDC.EOP_RT.M","OBS_VALUE","Uzbekistan, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","7.73965053929885E-5","7.717829962313836E-5","7.765560824919995E-5","7.744019874252605E-5","7.732062388465E-5","7.831920715900209E-5","7.902558295196904E-5","7.94182139320196E-5","8.011292718215597E-5","8.286541992880203E-5"
"IMF.STA:ER(4.0.1)","ARM.USD_XDC.EOP_RT.M","OBS_VALUE","Armenia, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.002521686503933831","0.002516672958349063","0.002542265158256006","0.002553821794315193","0.002564497102118275","0.002604573631296557","0.002600983171638879","0.002605387942264603","0.002614242392554638","0.002614242392554638"
"IMF.STA:ER(4.0.1)","BGR.USD_XDC.EOP_RT.M","OBS_VALUE","Bulgaria","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.5311802825879103","0.5313778627982358","0.5323112956456936","0.5529750055297501","0.5814967726929116","0.5797437532610586","0.5992329817833174","0.5852059925093633","0.5960647803203252","0.6003121623244086"
"IMF.STA:ER(4.0.1)","HUN.USD_XDC.EOP_RT.M","OBS_VALUE","Hungary","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.002540650406504065","0.002545630425374844","0.002595717066839714","0.002694183258345233","0.002810883741848437","0.002802612034416076","0.002937634029552598","0.00286409852498926","0.002941782131615333","0.003005801196308876"
"IMF.STA:ER(4.0.1)","BGD.USD_XDC.EOP_RT.M","OBS_VALUE","Bangladesh","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.008333333333333333","0.008201701093560141","0.00819672131147541","0.00819672131147541","0.00819672131147541","0.008136696501220503","0.008144980655670942","0.008155609020103576","0.008220979940808944","0.008210180623973728"
"IMF.STA:ER(4.0.1)","MUS.USD_XDC.EOP_RT.M","OBS_VALUE","Mauritius","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02113977194414027","0.02134476274228974","0.0212941294214598","0.02185166651734695","0.02208144076984735","0.02177965954036207","0.0220752013810246","0.02123845689867557","0.021709775043311","0.0218200067642021"
"IMF.STA:ER(4.0.1)","CZE.USD_XDC.EOP_RT.M","OBS_VALUE","Czech Republic","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.04125923175310476","0.04129842240026431","0.04160772239327619","0.04332943368430175","0.0447647611799991","0.0455228296990941","0.04733279689496852","0.0465809577044904","0.04769399532598846","0.04824624885415159"
